Data;NanoSegundo;Lat.;Lng.;Corrente;Azimute;SemiMaior;SemiMenor;Tipo
"18/02/2023 20:59:33";369576;-23.5629;-45.2649;-6;52;5;3.844;IN
"19/02/2023 01:52:33";149827472;-23.524;-45.2795;4;139;0.2;0.1;IN
"19/02/2023 01:52:33";160101424;-23.5102;-45.2853;2;142;0.2;0.1;IN
"19/02/2023 01:52:33";160780464;-23.5071;-45.281;2;149;0.4;0.1;IN
"19/02/2023 01:52:33";434809;-23.5437;-45.2814;-9;71;4.876;1.719;IN
"19/02/2023 02:13:21";813917504;-23.4928;-45.2766;4;141;0.2;0.1;IN
"19/02/2023 02:13:21";976372480;-23.5117;-45.3031;3;148;0.5;0.2;IN
"19/02/2023 02:17:14";923708;-23.509;-45.3151;-57;46;5;4.817;NS
"19/02/2023 02:22:18";610943296;-23.5434;-45.2691;6;144;0.2;0.1;IN
"19/02/2023 02:22:18";617982720;-23.5406;-45.2884;8;149;0.2;0.1;IN
"19/02/2023 02:22:18";622485760;-23.5589;-45.2705;8;139;0.2;0.1;IN
"19/02/2023 02:22:18";623213184;-23.5201;-45.3058;6;137;0.2;0.1;IN
"19/02/2023 02:22:18";624847424;-23.5166;-45.3109;5;136;0.3;0.1;IN
"19/02/2023 02:22:18";631478464;-23.541;-45.2861;5;145;0.6;0.2;IN
"19/02/2023 02:22:18";937757376;-23.5574;-45.2706;-8;141;0.2;0.1;NS
"19/02/2023 02:48:15";894182;-23.5621;-45.2737;-35;45;5;5;NS
"19/02/2023 02:54:01";139159280;-23.5596;-45.2785;-3;136;0.3;0.1;IN
"19/02/2023 02:57:03";737440960;-23.5441;-45.3021;-2;143;0.2;0.1;IN
"19/02/2023 02:57:04";65687032;-23.495;-45.285;5;143;0.3;0.1;IN
"19/02/2023 03:48:36";568100608;-23.5478;-45.2651;-11;141;0.7;0.3;NS
"19/02/2023 03:48:36";903185;-23.5619;-45.2839;-104;50;5;4.231;NS
"19/02/2023 04:22:22";773666240;-23.5693;-45.2917;-3;138;0.9;0.3;IN
"19/02/2023 04:36:53";17672178;-23.56;-45.2783;-1;141;0.2;0.1;IN
"19/02/2023 05:24:07";451898400;-23.5991;-45.2895;5;145;0.3;0.1;IN
"19/02/2023 05:27:30";201784256;-23.5444;-45.2872;-4;140;0.3;0.1;IN
"19/02/2023 05:37:28";914587648;-23.6182;-45.36;3;141;0.2;0.1;IN
"19/02/2023 05:37:29";3391936;-23.5535;-45.29;3;150;0.8;0.3;IN
"19/02/2023 05:38:50";472698880;-23.5984;-45.3554;3;149;0.3;0.1;IN
"19/02/2023 05:45:04";174013008;-23.6124;-45.3631;-2;136;0.3;0.1;IN
"19/02/2023 05:55:11";994510080;-23.6249;-45.3598;-2;150;0.4;0.1;IN
"19/02/2023 05:56:13";734268608;-23.4878;-45.2912;3;151;0.5;0.2;IN
"19/02/2023 05:56:13";820409472;-23.4999;-45.2888;-5;146;0.4;0.1;IN
"19/02/2023 05:58:46";1823334;-23.5558;-45.2838;2;145;0.2;0.1;IN
"19/02/2023 06:01:37";226303216;-23.6119;-45.3741;-5;126;0.8;0.3;IN
"19/02/2023 06:09:05";131272040;-23.5673;-45.2972;4;143;0.3;0.1;IN
"19/02/2023 06:09:05";135144224;-23.5676;-45.2987;5;146;0.2;0.1;IN
"19/02/2023 06:09:05";136532016;-23.5676;-45.3001;4;147;0.3;0.1;IN
"19/02/2023 06:09:05";138179904;-23.5347;-45.2864;4;147;0.5;0.1;IN
"19/02/2023 06:09:05";142985456;-23.5323;-45.3036;5;148;0.2;0.1;IN
"19/02/2023 06:09:05";146217280;-23.5311;-45.3068;4;152;0.7;0.2;IN
"19/02/2023 06:15:37";2115525;-23.5551;-45.2943;3;149;0.9;0.2;IN
"19/02/2023 06:22:38";723686208;-23.7468;-45.4703;-3;147;0.5;0.2;IN
